// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 36 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\obj\Release\net8.0/" /p:OutDir="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\bin\Release\net8.0/" /p:OutputPath="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\bin\Release\net8.0/" in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d
// command took 1.03 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\obj\Release\net8.0/" /p:OutDir="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\bin\Release\net8.0/" /p:OutputPath="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\bin\Release\net8.0/" --output "C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\bin\Release\net8.0/" in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d
// command took 5.27 sec and exited with 0
// ***** Done, took 00:00:06 (6.42 sec)   *****
// Found 36 benchmarks:
//   DynamicArray.AddBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10]
//   DynamicArray.SetBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10]
//   DynamicArray.IndexOfBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10]
//   DynamicArray.ContainsBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10]
//   DynamicArray.RemoveBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10]
//   DynamicArray.RemoveAtBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10]
//   DynamicArray.AddBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=99]
//   DynamicArray.SetBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=99]
//   DynamicArray.IndexOfBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=99]
//   DynamicArray.ContainsBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=99]
//   DynamicArray.RemoveBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=99]
//   DynamicArray.RemoveAtBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=99]
//   DynamicArray.AddBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100]
//   DynamicArray.SetBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100]
//   DynamicArray.IndexOfBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100]
//   DynamicArray.ContainsBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100]
//   DynamicArray.RemoveBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100]
//   DynamicArray.RemoveAtBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100]
//   DynamicArray.AddBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=1000]
//   DynamicArray.SetBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=1000]
//   DynamicArray.IndexOfBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=1000]
//   DynamicArray.ContainsBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=1000]
//   DynamicArray.RemoveBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=1000]
//   DynamicArray.RemoveAtBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=1000]
//   DynamicArray.AddBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10000]
//   DynamicArray.SetBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10000]
//   DynamicArray.IndexOfBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10000]
//   DynamicArray.ContainsBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10000]
//   DynamicArray.RemoveBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10000]
//   DynamicArray.RemoveAtBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10000]
//   DynamicArray.AddBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100000]
//   DynamicArray.SetBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100000]
//   DynamicArray.IndexOfBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100000]
//   DynamicArray.ContainsBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100000]
//   DynamicArray.RemoveBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100000]
//   DynamicArray.RemoveAtBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=100000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Hoge prestaties)
// **************************
// Benchmark: DynamicArray.AddBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 0442d417-6955-4d48-a439-dd7fe49e3f9d.dll --anonymousPipes 1060 1252 --benchmarkName "ADP_Implementations_Benchmarks.DynamicArray.AddBenchmark(N: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.8 (8.0.824.36612), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX-512F+CD+BW+DQ+VL+VBMI,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-GMFQQP(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 131100.00 ns, 131.1000 us/op
// ** Remained 14 (38,9%) benchmark(s) to run. Estimated finish 2024-11-30 23:33 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Hoge prestaties)
// **************************
// Benchmark: DynamicArray.RemoveBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 0442d417-6955-4d48-a439-dd7fe49e3f9d.dll --anonymousPipes 2292 1332 --benchmarkName "ADP_Implementations_Benchmarks.DynamicArray.RemoveBenchmark(N: 1000)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 22 in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.8 (8.0.824.36612), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX-512F+CD+BW+DQ+VL+VBMI,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-UKGNSV(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 150800.00 ns, 150.8000 us/op
WorkloadJitting  1: 1 op, 733000.00 ns, 733.0000 us/op

OverheadWarmup   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 300.00 ns, 300.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  15: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  16: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 200.00 ns, 200.0000 ns/op

WorkloadWarmup   1: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadWarmup   2: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadWarmup   3: 1 op, 15800.00 ns, 15.8000 us/op
WorkloadWarmup   4: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadWarmup   5: 1 op, 16700.00 ns, 16.7000 us/op
WorkloadWarmup   6: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadWarmup   7: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadWarmup   8: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadWarmup   9: 1 op, 670900.00 ns, 670.9000 us/op
WorkloadWarmup  10: 1 op, 22800.00 ns, 22.8000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 20000.00 ns, 20.0000 us/op
WorkloadActual   2: 1 op, 23800.00 ns, 23.8000 us/op
WorkloadActual   3: 1 op, 28200.00 ns, 28.2000 us/op
WorkloadActual   4: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadActual   5: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadActual   6: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadActual   7: 1 op, 16600.00 ns, 16.6000 us/op
WorkloadActual   8: 1 op, 19200.00 ns, 19.2000 us/op
WorkloadActual   9: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual  10: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadActual  11: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadActual  12: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadActual  13: 1 op, 14100.00 ns, 14.1000 us/op
WorkloadActual  14: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  15: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadActual  16: 1 op, 15800.00 ns, 15.8000 us/op
WorkloadActual  17: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadActual  18: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadActual  19: 1 op, 13900.00 ns, 13.9000 us/op
WorkloadActual  20: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadActual  21: 1 op, 16400.00 ns, 16.4000 us/op
WorkloadActual  22: 1 op, 15700.00 ns, 15.7000 us/op
WorkloadActual  23: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadActual  24: 1 op, 13300.00 ns, 13.3000 us/op
WorkloadActual  25: 1 op, 13200.00 ns, 13.2000 us/op
WorkloadActual  26: 1 op, 13300.00 ns, 13.3000 us/op
WorkloadActual  27: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadActual  28: 1 op, 13600.00 ns, 13.6000 us/op
WorkloadActual  29: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadActual  30: 1 op, 15200.00 ns, 15.2000 us/op
WorkloadActual  31: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadActual  32: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadActual  33: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadActual  34: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadActual  35: 1 op, 13700.00 ns, 13.7000 us/op
WorkloadActual  36: 1 op, 12900.00 ns, 12.9000 us/op
WorkloadActual  37: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadActual  38: 1 op, 13100.00 ns, 13.1000 us/op
WorkloadActual  39: 1 op, 13700.00 ns, 13.7000 us/op
WorkloadActual  40: 1 op, 13200.00 ns, 13.2000 us/op
WorkloadActual  41: 1 op, 12500.00 ns, 12.5000 us/op
WorkloadActual  42: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadActual  43: 1 op, 14200.00 ns, 14.2000 us/op
WorkloadActual  44: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadActual  45: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadActual  46: 1 op, 14800.00 ns, 14.8000 us/op
WorkloadActual  47: 1 op, 13600.00 ns, 13.6000 us/op
WorkloadActual  48: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadActual  49: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadActual  50: 1 op, 14000.00 ns, 14.0000 us/op
WorkloadActual  51: 1 op, 15600.00 ns, 15.6000 us/op
WorkloadActual  52: 1 op, 15900.00 ns, 15.9000 us/op
WorkloadActual  53: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadActual  54: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  55: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadActual  56: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  57: 1 op, 12600.00 ns, 12.6000 us/op
WorkloadActual  58: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadActual  59: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadActual  60: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  61: 1 op, 12600.00 ns, 12.6000 us/op
WorkloadActual  62: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  63: 1 op, 12500.00 ns, 12.5000 us/op
WorkloadActual  64: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  65: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadActual  66: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadActual  67: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadActual  68: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadActual  69: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadActual  70: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadActual  71: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  72: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  73: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  74: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadActual  75: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadActual  76: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadActual  77: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  78: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  79: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadActual  80: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadActual  81: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  82: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadActual  83: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  84: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadActual  85: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  86: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  87: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadActual  88: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadActual  89: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadActual  90: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadActual  91: 1 op, 18800.00 ns, 18.8000 us/op
WorkloadActual  92: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadActual  93: 1 op, 13700.00 ns, 13.7000 us/op
WorkloadActual  94: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadActual  95: 1 op, 12600.00 ns, 12.6000 us/op
WorkloadActual  96: 1 op, 15900.00 ns, 15.9000 us/op
WorkloadActual  97: 1 op, 13300.00 ns, 13.3000 us/op
WorkloadActual  98: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  99: 1 op, 12200.00 ns, 12.2000 us/op
WorkloadActual  100: 1 op, 12000.00 ns, 12.0000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 19800.00 ns, 19.8000 us/op
WorkloadResult   2: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadResult   3: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadResult   4: 1 op, 16400.00 ns, 16.4000 us/op
WorkloadResult   5: 1 op, 19000.00 ns, 19.0000 us/op
WorkloadResult   6: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadResult   7: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadResult   8: 1 op, 16700.00 ns, 16.7000 us/op
WorkloadResult   9: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadResult  10: 1 op, 13900.00 ns, 13.9000 us/op
WorkloadResult  11: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadResult  12: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadResult  13: 1 op, 15600.00 ns, 15.6000 us/op
WorkloadResult  14: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadResult  15: 1 op, 15300.00 ns, 15.3000 us/op
WorkloadResult  16: 1 op, 13700.00 ns, 13.7000 us/op
WorkloadResult  17: 1 op, 15300.00 ns, 15.3000 us/op
WorkloadResult  18: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadResult  19: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadResult  20: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadResult  21: 1 op, 13100.00 ns, 13.1000 us/op
WorkloadResult  22: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadResult  23: 1 op, 13100.00 ns, 13.1000 us/op
WorkloadResult  24: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadResult  25: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadResult  26: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadResult  27: 1 op, 15000.00 ns, 15.0000 us/op
WorkloadResult  28: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult  29: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadResult  30: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadResult  31: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadResult  32: 1 op, 13500.00 ns, 13.5000 us/op
WorkloadResult  33: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadResult  34: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadResult  35: 1 op, 12900.00 ns, 12.9000 us/op
WorkloadResult  36: 1 op, 13500.00 ns, 13.5000 us/op
WorkloadResult  37: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadResult  38: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadResult  39: 1 op, 14500.00 ns, 14.5000 us/op
WorkloadResult  40: 1 op, 14000.00 ns, 14.0000 us/op
WorkloadResult  41: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadResult  42: 1 op, 13200.00 ns, 13.2000 us/op
WorkloadResult  43: 1 op, 14600.00 ns, 14.6000 us/op
WorkloadResult  44: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadResult  45: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadResult  46: 1 op, 13200.00 ns, 13.2000 us/op
WorkloadResult  47: 1 op, 13800.00 ns, 13.8000 us/op
WorkloadResult  48: 1 op, 15400.00 ns, 15.4000 us/op
WorkloadResult  49: 1 op, 15700.00 ns, 15.7000 us/op
WorkloadResult  50: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadResult  51: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadResult  52: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadResult  53: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  54: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadResult  55: 1 op, 12200.00 ns, 12.2000 us/op
WorkloadResult  56: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult  57: 1 op, 12500.00 ns, 12.5000 us/op
WorkloadResult  58: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadResult  59: 1 op, 12500.00 ns, 12.5000 us/op
WorkloadResult  60: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadResult  61: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  62: 1 op, 12200.00 ns, 12.2000 us/op
WorkloadResult  63: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadResult  64: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadResult  65: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadResult  66: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadResult  67: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadResult  68: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  69: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  70: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  71: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadResult  72: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult  73: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadResult  74: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  75: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult  76: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadResult  77: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadResult  78: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult  79: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadResult  80: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult  81: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadResult  82: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  83: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  84: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult  85: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult  86: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadResult  87: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadResult  88: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadResult  89: 1 op, 16600.00 ns, 16.6000 us/op
WorkloadResult  90: 1 op, 13500.00 ns, 13.5000 us/op
WorkloadResult  91: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadResult  92: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadResult  93: 1 op, 15700.00 ns, 15.7000 us/op
WorkloadResult  94: 1 op, 13100.00 ns, 13.1000 us/op
WorkloadResult  95: 1 op, 12500.00 ns, 12.5000 us/op
WorkloadResult  96: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadResult  97: 1 op, 11800.00 ns, 11.8000 us/op
// GC:  0 0 0 552 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 32204 has exited with code 0.

Mean = 14.155 μs, StdErr = 0.279 μs (1.97%), N = 97, StdDev = 2.753 μs
Min = 11.000 μs, Q1 = 11.900 μs, Median = 13.100 μs, Q3 = 15.700 μs, Max = 22.600 μs
IQR = 3.800 μs, LowerFence = 6.200 μs, UpperFence = 21.400 μs
ConfidenceInterval = [13.206 μs; 15.103 μs] (CI 99.9%), Margin = 0.949 μs (6.70% of Mean)
Skewness = 1.03, Kurtosis = 3.19, MValue = 2.68

// ** Remained 13 (36,1%) benchmark(s) to run. Estimated finish 2024-11-30 23:33 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Hoge prestaties)
// **************************
// Benchmark: DynamicArray.RemoveAtBenchmark: Job-QUSBDE(InvocationCount=1, UnrollFactor=1) [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 0442d417-6955-4d48-a439-dd7fe49e3f9d.dll --anonymousPipes 2172 2160 --benchmarkName "ADP_Implementations_Benchmarks.DynamicArray.RemoveAtBenchmark(N: 1000)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 23 in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\0442d417-6955-4d48-a439-dd7fe49e3f9d\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.8 (8.0.824.36612), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX-512F+CD+BW+DQ+VL+VBMI,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-LNISIU(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 138400.00 ns, 138.4000 us/op
WorkloadJitting  1: 1 op, 1099900.00 ns, 1.0999 ms/op

OverheadWarmup   1: 1 op, 500.00 ns, 500.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   5: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  12: 1 op, 200.00 ns, 200.0000 ns/op
